"Pathway_Code","Pathway_Name","Gene"
"p53","p53 signaling pathway","CDH13"
"p53","p53 signaling pathway","CDK5R1"
"p53","p53 signaling pathway","CDKN1A"
"p53","p53 signaling pathway","CDKN2A"
"p53","p53 signaling pathway","CDKN2AIP"
"p53","p53 signaling pathway","CDKN2B"
"p53","p53 signaling pathway","CEBPA"
"p53","p53 signaling pathway","CGRRF1"
"p53","p53 signaling pathway","CLCA2"
"p53","p53 signaling pathway","COQ8A"
"p53","p53 signaling pathway","CSRNP2"
"p53","p53 signaling pathway","CTSD"
"p53","p53 signaling pathway","CTSF"
"p53","p53 signaling pathway","CYFIP2"
"p53","p53 signaling pathway","DCXR"
"p53","p53 signaling pathway","DDB2"
"p53","p53 signaling pathway","DDIT3"
"p53","p53 signaling pathway","DDIT4"
"p53","p53 signaling pathway","DEF6"
"p53","p53 signaling pathway","DGKA"
"p53","p53 signaling pathway","DNTTIP2"
"p53","p53 signaling pathway","DRAM1"
"p53","p53 signaling pathway","EI24"
"p53","p53 signaling pathway","ELP1"
"p53","p53 signaling pathway","EPHA2"
"p53","p53 signaling pathway","EPHX1"
"p53","p53 signaling pathway","EPS8L2"
"p53","p53 signaling pathway","ERCC5"
"p53","p53 signaling pathway","F2R"
"p53","p53 signaling pathway","FAM162A"
"p53","p53 signaling pathway","FAS"
"p53","p53 signaling pathway","FBXW7"
"p53","p53 signaling pathway","FDXR"
"p53","p53 signaling pathway","FGF13"
"p53","p53 signaling pathway","FOS"
"p53","p53 signaling pathway","FOXO3"
"p53","p53 signaling pathway","FUCA1"
"p53","p53 signaling pathway","GADD45A"
"p53","p53 signaling pathway","GLS2"
"p53","p53 signaling pathway","GM2A"
"p53","p53 signaling pathway","GPX2"
"p53","p53 signaling pathway","H1-2"
"p53","p53 signaling pathway","H2AC25"
"p53","p53 signaling pathway","H2AJ"
"p53","p53 signaling pathway","HBEGF"
"p53","p53 signaling pathway","HDAC3"
"p53","p53 signaling pathway","HEXIM1"
"p53","p53 signaling pathway","HINT1"
"p53","p53 signaling pathway","HMOX1"
"p53","p53 signaling pathway","HRAS"
"p53","p53 signaling pathway","HSPA4L"
"p53","p53 signaling pathway","IER3"
"p53","p53 signaling pathway","IER5"
"p53","p53 signaling pathway","IFI30"
"p53","p53 signaling pathway","IL1A"
"p53","p53 signaling pathway","INHBB"
"p53","p53 signaling pathway","IP6K2"
"p53","p53 signaling pathway","IRAG2"
"p53","p53 signaling pathway","IRAK1"
"p53","p53 signaling pathway","ISCU"
"p53","p53 signaling pathway","ITGB4"
"p53","p53 signaling pathway","JAG2"
"p53","p53 signaling pathway","JUN"
"p53","p53 signaling pathway","KIF13B"
"p53","p53 signaling pathway","KLF4"
"p53","p53 signaling pathway","KLK8"
"p53","p53 signaling pathway","KRT17"
"p53","p53 signaling pathway","LDHB"
"p53","p53 signaling pathway","LIF"
"p53","p53 signaling pathway","MAPKAPK3"
"p53","p53 signaling pathway","MDM2"
"p53","p53 signaling pathway","MKNK2"
"p53","p53 signaling pathway","MXD1"
"p53","p53 signaling pathway","MXD4"
"p53","p53 signaling pathway","NDRG1"
"p53","p53 signaling pathway","NHLH2"
"p53","p53 signaling pathway","NINJ1"
"p53","p53 signaling pathway","NOL8"
"p53","p53 signaling pathway","NOTCH1"
"p53","p53 signaling pathway","NUDT15"
"p53","p53 signaling pathway","NUPR1"
"p53","p53 signaling pathway","OSGIN1"
"p53","p53 signaling pathway","PCNA"
"p53","p53 signaling pathway","PDGFA"
"p53","p53 signaling pathway","PERP"
"p53","p53 signaling pathway","PHLDA3"
"p53","p53 signaling pathway","PIDD1"
"p53","p53 signaling pathway","PITPNC1"
"p53","p53 signaling pathway","PLK2"
"p53","p53 signaling pathway","PLK3"
"p53","p53 signaling pathway","PLXNB2"
"p53","p53 signaling pathway","PMM1"
"p53","p53 signaling pathway","POLH"
"p53","p53 signaling pathway","POM121"
"p53","p53 signaling pathway","PPM1D"
"p53","p53 signaling pathway","PPP1R15A"
"p53","p53 signaling pathway","PRKAB1"
"p53","p53 signaling pathway","PRMT2"
"p53","p53 signaling pathway","PROCR"
"p53","p53 signaling pathway","PTPN14"
"p53","p53 signaling pathway","PTPRE"
"p53","p53 signaling pathway","PVT1"
"p53","p53 signaling pathway","RAB40C"
"p53","p53 signaling pathway","RACK1"
"p53","p53 signaling pathway","RAD51C"
"p53","p53 signaling pathway","RAD9A"
"p53","p53 signaling pathway","RALGDS"
"p53","p53 signaling pathway","RAP2B"
"p53","p53 signaling pathway","RB1"
"p53","p53 signaling pathway","RCHY1"
"p53","p53 signaling pathway","RETSAT"
"p53","p53 signaling pathway","RGS16"
"p53","p53 signaling pathway","RHBDF2"
"p53","p53 signaling pathway","RNF19B"
"p53","p53 signaling pathway","RPL18"
"p53","p53 signaling pathway","RPL36"
"p53","p53 signaling pathway","RPS12"
"p53","p53 signaling pathway","RPS27L"
"p53","p53 signaling pathway","RRAD"
"p53","p53 signaling pathway","RRP8"
"p53","p53 signaling pathway","RXRA"
"p53","p53 signaling pathway","S100A10"
"p53","p53 signaling pathway","S100A4"
"p53","p53 signaling pathway","SAT1"
"p53","p53 signaling pathway","SDC1"
"p53","p53 signaling pathway","SEC61A1"
"p53","p53 signaling pathway","SERPINB5"
"p53","p53 signaling pathway","SERTAD3"
"p53","p53 signaling pathway","SESN1"
"p53","p53 signaling pathway","SFN"
"p53","p53 signaling pathway","SLC19A2"
"p53","p53 signaling pathway","SLC35D1"
"p53","p53 signaling pathway","SLC3A2"
"p53","p53 signaling pathway","SLC7A11"
"p53","p53 signaling pathway","SOCS1"
"p53","p53 signaling pathway","SP1"
"p53","p53 signaling pathway","SPHK1"
"p53","p53 signaling pathway","ST14"
"p53","p53 signaling pathway","STEAP3"
"p53","p53 signaling pathway","STOM"
"p53","p53 signaling pathway","TAP1"
"p53","p53 signaling pathway","TAX1BP3"
"p53","p53 signaling pathway","TCHH"
"p53","p53 signaling pathway","TCN2"
"p53","p53 signaling pathway","TGFA"
"p53","p53 signaling pathway","TGFB1"
"p53","p53 signaling pathway","TM4SF1"
"p53","p53 signaling pathway","TM7SF3"
"p53","p53 signaling pathway","TNFSF9"
"p53","p53 signaling pathway","TNNI1"
"p53","p53 signaling pathway","TOB1"
"p53","p53 signaling pathway","TP53"
"p53","p53 signaling pathway","TP63"
"p53","p53 signaling pathway","TPD52L1"
"p53","p53 signaling pathway","TPRKB"
"p53","p53 signaling pathway","TRAF4"
"p53","p53 signaling pathway","TRAFD1"
"p53","p53 signaling pathway","TRIAP1"
"p53","p53 signaling pathway","TRIB3"
"p53","p53 signaling pathway","TSC22D1"
"p53","p53 signaling pathway","TSPYL2"
"p53","p53 signaling pathway","TXNIP"
"p53","p53 signaling pathway","UPP1"
"p53","p53 signaling pathway","VAMP8"
"p53","p53 signaling pathway","VDR"
"p53","p53 signaling pathway","VWA5A"
"p53","p53 signaling pathway","WRAP73"
"p53","p53 signaling pathway","WWP1"
"p53","p53 signaling pathway","XPC"
"p53","p53 signaling pathway","ZBTB16"
"p53","p53 signaling pathway","ZFP36L1"
"p53","p53 signaling pathway","ZMAT3"
"p53","p53 signaling pathway","ZNF365"
"TGFB","TGF-beta signaling pathway","ACVR1"
"TGFB","TGF-beta signaling pathway","APC"
"TGFB","TGF-beta signaling pathway","ARID4B"
"TGFB","TGF-beta signaling pathway","BCAR3"
"TGFB","TGF-beta signaling pathway","BMP2"
"TGFB","TGF-beta signaling pathway","BMPR1A"
"TGFB","TGF-beta signaling pathway","BMPR2"
"TGFB","TGF-beta signaling pathway","CDH1"
"TGFB","TGF-beta signaling pathway","CDK9"
"TGFB","TGF-beta signaling pathway","CDKN1C"
"TGFB","TGF-beta signaling pathway","CTNNB1"
"TGFB","TGF-beta signaling pathway","ENG"
"TGFB","TGF-beta signaling pathway","FKBP1A"
"TGFB","TGF-beta signaling pathway","FNTA"
"TGFB","TGF-beta signaling pathway","FURIN"
"TGFB","TGF-beta signaling pathway","HDAC1"
"TGFB","TGF-beta signaling pathway","HIPK2"
"TGFB","TGF-beta signaling pathway","ID1"
"TGFB","TGF-beta signaling pathway","ID2"
"TGFB","TGF-beta signaling pathway","ID3"
"TGFB","TGF-beta signaling pathway","IFNGR2"
"TGFB","TGF-beta signaling pathway","JUNB"
"TGFB","TGF-beta signaling pathway","KLF10"
"TGFB","TGF-beta signaling pathway","LEFTY2"
"TGFB","TGF-beta signaling pathway","LTBP2"
"TGFB","TGF-beta signaling pathway","MAP3K7"
"TGFB","TGF-beta signaling pathway","NCOR2"
"TGFB","TGF-beta signaling pathway","NOG"
"TGFB","TGF-beta signaling pathway","PMEPA1"
"TGFB","TGF-beta signaling pathway","PPM1A"
"TGFB","TGF-beta signaling pathway","PPP1CA"
"TGFB","TGF-beta signaling pathway","PPP1R15A"
"TGFB","TGF-beta signaling pathway","RAB31"
"TGFB","TGF-beta signaling pathway","RHOA"
"TGFB","TGF-beta signaling pathway","SERPINE1"
"TGFB","TGF-beta signaling pathway","SKI"
"TGFB","TGF-beta signaling pathway","SKIL"
"TGFB","TGF-beta signaling pathway","SLC20A1"
"TGFB","TGF-beta signaling pathway","SMAD1"
"TGFB","TGF-beta signaling pathway","SMAD3"
"TGFB","TGF-beta signaling pathway","SMAD6"
"TGFB","TGF-beta signaling pathway","SMAD7"
"TGFB","TGF-beta signaling pathway","SMURF1"
"TGFB","TGF-beta signaling pathway","SMURF2"
"TGFB","TGF-beta signaling pathway","SPTBN1"
"TGFB","TGF-beta signaling pathway","TGFB1"
"TGFB","TGF-beta signaling pathway","TGFBR1"
"TGFB","TGF-beta signaling pathway","TGIF1"
"TGFB","TGF-beta signaling pathway","THBS1"
"TGFB","TGF-beta signaling pathway","TJP1"
"TGFB","TGF-beta signaling pathway","TRIM33"
"TGFB","TGF-beta signaling pathway","UBE2D3"
"TGFB","TGF-beta signaling pathway","WWTR1"
"TGFB","TGF-beta signaling pathway","XIAP"
"WNT","Wnt signaling pathway","ADAM17"
"WNT","Wnt signaling pathway","AXIN1"
"WNT","Wnt signaling pathway","AXIN2"
"WNT","Wnt signaling pathway","CCND2"
"WNT","Wnt signaling pathway","CSNK1E"
"WNT","Wnt signaling pathway","CTNNB1"
"WNT","Wnt signaling pathway","CUL1"
"WNT","Wnt signaling pathway","DKK1"
"WNT","Wnt signaling pathway","DKK4"
"WNT","Wnt signaling pathway","DLL1"
"WNT","Wnt signaling pathway","DVL2"
"WNT","Wnt signaling pathway","FRAT1"
"WNT","Wnt signaling pathway","FZD1"
"WNT","Wnt signaling pathway","FZD8"
"WNT","Wnt signaling pathway","GNAI1"
"WNT","Wnt signaling pathway","HDAC11"
"WNT","Wnt signaling pathway","HDAC2"
"WNT","Wnt signaling pathway","HDAC5"
"WNT","Wnt signaling pathway","HEY1"
"WNT","Wnt signaling pathway","HEY2"
"WNT","Wnt signaling pathway","JAG1"
"WNT","Wnt signaling pathway","JAG2"
"WNT","Wnt signaling pathway","KAT2A"
"WNT","Wnt signaling pathway","LEF1"
"WNT","Wnt signaling pathway","MAML1"
"WNT","Wnt signaling pathway","MYC"
"WNT","Wnt signaling pathway","NCOR2"
"WNT","Wnt signaling pathway","NCSTN"
"WNT","Wnt signaling pathway","NKD1"
"WNT","Wnt signaling pathway","NOTCH1"
"WNT","Wnt signaling pathway","NOTCH4"
"WNT","Wnt signaling pathway","NUMB"
"WNT","Wnt signaling pathway","PPARD"
"WNT","Wnt signaling pathway","PSEN2"
"WNT","Wnt signaling pathway","PTCH1"
"WNT","Wnt signaling pathway","RBPJ"
"WNT","Wnt signaling pathway","SKP2"
"WNT","Wnt signaling pathway","TCF7"
"WNT","Wnt signaling pathway","TP53"
"WNT","Wnt signaling pathway","WNT1"
"WNT","Wnt signaling pathway","WNT5B"
"WNT","Wnt signaling pathway","WNT6"
"mTORC1","mTORC1 signaling pathway","ABCF2"
"mTORC1","mTORC1 signaling pathway","ACACA"
"mTORC1","mTORC1 signaling pathway","ACLY"
"mTORC1","mTORC1 signaling pathway","ACSL3"
"mTORC1","mTORC1 signaling pathway","ACTR2"
"mTORC1","mTORC1 signaling pathway","ACTR3"
"mTORC1","mTORC1 signaling pathway","ADD3"
